datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A;A1;A2;A3;B;B1;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
09.03.2025;Oberbürgermeisterwahl;06414000;111;0111 Rathaus;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;112;0112 Rathaus;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;121;0121 Oranienschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;122;0122 Oranienschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;123;0123 Oranienschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;131;0131 Friedrich-Ludwig-Jahn-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;132;0132 Oranienschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;133;0133 Oranienschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;151;0151 Integrierte Gesamtschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;152;0152 Anton-Gruner-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;211;0211 Robert-Schumann-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;212;0212 Robert-Schumann-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;213;0213 Robert-Schumann-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;221;0221 thalhaus;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;222;0222 Ev. Verein f. Innere Mission;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;231;0231 thalhaus;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;232;0232 Johannes-Maaß-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;241;0241 Ev. Kreuzkirchengemeinde;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;242;0242 Comeniusschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;243;0243 Riederbergschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;244;0244 Riederbergschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;251;0251 Albrecht-Dürer-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;271;0271 Martin-Niemöller-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;281;0281 Obermayr Europa-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;311;0311 Helene-Lange-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;321;0321 Obermayr Europa-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;322;0322 Helene-Lange-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;331;0331 Helene-Lange-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;421;0421 Schulze-Delitzsch-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;451;0451 Friedrich-Ebert-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;452;0452 Adalbert-Stifter-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;453;0453 Adalbert-Stifter-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;461;0461 Adalbert-Stifter-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;511;0511 Mittelstufenschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;512;0512 Gutenbergschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;513;0513 Mittelstufenschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;521;0521 Gutenbergschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;522;0522 Gymnasium am Mosbacher Berg;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;611;0611 Gerh.-Hauptmann-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;621;0621 Friedrich-Ludwig-Jahn-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;622;0622 Hilde-Müller-Haus;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;623;0623 IGS Rheingauviertel;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;624;0624 Gerh.-Hauptmann-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;631;0631 IGS Rheingauviertel;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;641;0641 IGS Rheingauviertel;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;642;0642 IGS Rheingauviertel;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;651;0651 Kinderhaus Kleinfeldchen;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;671;0671 Albrecht-Dürer-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;711;0711 Sophie-u.-Hans-Scholl-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;721;0721 Sophie-u.-Hans-Scholl-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;722;0722 Sophie-u.-Hans-Scholl-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;723;0723 Sophie-u.-Hans-Scholl-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;811;0811 Elly-Heuss-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;812;0812 Elly-Heuss-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;821;0821 Blücherschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;822;0822 Blücherschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;823;0823 Blücherschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;824;0824 Blücherschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;825;0825 Blücherschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1111;1111 Bürgerhaus Sonnenberg;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1121;1121 SchulKinderhaus;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1131;1131 Bürgerhaus Sonnenberg;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1132;1132 Evangelische Versöhnungsgemeinde;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1141;1141 Ev. Kirchengemeinde Wartburg;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1171;1171 Ev. Thomasgemeinde;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1211;1211 Theodor-Fliedner-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1212;1212 Gemeindehaus ev. Kirchengemeinde;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1213;1213 Gemeindehaus ev. Kirchengemeinde;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1221;1221 Altenhilfezentrum Konrad Arndt;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1222;1222 Altenwohnanlage Konrad Arndt;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1223;1223 Altenhilfezentrum Konrad Arndt;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1241;1241 Altenwohnanlage Konrad Arndt;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1261;1261 Theodor-Fliedner-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1271;1271 Evangelische Versöhnungsgemeinde;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1311;1311 Justus-v.-Liebig-Schule (Neubau);1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1312;1312 Hermann-Ehlers-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1313;1313 Justus-v.-Liebig-Schule (Neubau);1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1321;1321 Hermann-Ehlers-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1322;1322 Justus-v.-Liebig-Schule (Neubau);1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1411;1411 Fluxusschule Biebrich;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1412;1412 Wilh.-Heinrich-v.-Riehl-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1413;1413 Rathaus Biebrich;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1414;1414 Goetheschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1415;1415 Wilh.-Heinrich-v.-Riehl-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1421;1421 Pestalozzischule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1431;1431 Wilh.-Heinrich-v.-Riehl-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1471;1471 Altenwohnanlage Parkfeld II;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1472;1472 Otto-Stückrath-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1473;1473 Otto-Stückrath-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1511;1511 Fr.-v.-Bodelschwingh-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1512;1512 Fr.-v.-Bodelschwingh-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1513;1513 Ludwig-Beck-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1531;1531 Diesterwegschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1541;1541 Diesterwegschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1542;1542 Diesterwegschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1543;1543 Diesterwegschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1551;1551 Gymnasium am Mosbacher Berg;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1552;1552 Ev. Heilig-Geist-Kirchengemeinde;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1581;1581 Grundschule Sauerland;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1611;1611 Helen-Keller-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1612;1612 Philipp-Reis-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1613;1613 Philipp-Reis-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1621;1621 Kohlheckschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1622;1622 Kohlheckschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1623;1623 Kohlheckschule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1624;1624 Freie Christliche Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1641;1641 Grundschule Sauerland;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1642;1642 Grundschule Sauerland;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1651;1651 Kinderhaus Freudenberg;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1661;1661 Stadtteilz. Schelmengraben;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1662;1662 Stadtteilz. Schelmengraben;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1681;1681 Helen-Keller-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;1691;1691 Joseph-von-Eichendorff-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2111;2111 Evangelisches Gemeindezentrum;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2112;2112 Adolf-Reichwein-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2211;2211 Ev. Bodelschwinghgemeinde;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2311;2311 Ernst-Göbel-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2312;2312 Ernst-Göbel-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2411;2411 Peter-Rosegger-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2412;2412 Peter-Rosegger-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2511;2511 Grundschule Nordenstadt;1;0;;;;;;;;;;;;;;;;;;
