datum;ags;Bezirk-Nr;Bezirk-Name;Bezirk-Art;Wahlraum-Bezeichnung;Wahlraum-Adresse;Wahlraum-Barrierefrei;Wahlraum-Barrierefrei-Ergaenzung
09.03.2025;06414000;1691;1691 Joseph-von-Eichendorff-Schule;W;Joseph-von-Eichendorff-Schule, Neubau, UG, Mehrzweckraum -121;Otto-Reutter-Straße 5, 65201 Wiesbaden;ja;
09.03.2025;06414000;2111;2111 Evangelisches Gemeindezentrum;W;Evangelisches Gemeindezentrum, Gemeindesaal;Kirchweg 1, 65207 Wiesbaden;nein;
09.03.2025;06414000;2112;2112 Adolf-Reichwein-Schule;W;Adolf-Reichwein-Schule, Zimmer 4;Trompeterstraße 51, 65207 Wiesbaden;nein;
09.03.2025;06414000;2211;2211 Ev. Bodelschwinghgemeinde;W;Ev. Bodelschwinghgemeinde, Gemeindehaus;Jagdweg 2, 65207 Wiesbaden;ja;
09.03.2025;06414000;2311;2311 Ernst-Göbel-Schule;W;Ernst-Göbel-Schule, Haupteing. Neubau, EG, Zi. 17;Heßlocher Straße 29, 65207 Wiesbaden;ja;
09.03.2025;06414000;2312;2312 Ernst-Göbel-Schule;W;Ernst-Göbel-Schule, Haupteing. Neubau, EG, Zi. 19;Heßlocher Straße 29, 65207 Wiesbaden;ja;
09.03.2025;06414000;2411;2411 Peter-Rosegger-Schule;W;Peter-Rosegger-Schule, Neubau, DG, Versammlungsraum;Hauptstraße 13 bis 15, 65207 Wiesbaden;ja;
09.03.2025;06414000;2412;2412 Peter-Rosegger-Schule;W;Peter-Rosegger-Schule, Neubau, DG, Versammlungsraum;Hauptstraße 13 bis 15, 65207 Wiesbaden;ja;
09.03.2025;06414000;2511;2511 Grundschule Nordenstadt;W;Grundschule Nordenstadt, Raum 017, Mensa;An der Schule 1, 65205 Wiesbaden;ja;
09.03.2025;06414000;2512;2512 Grundschule Nordenstadt;W;Grundschule Nordenstadt, Erdgeschoss, Raum 004;An der Schule 1, 65205 Wiesbaden;ja;
09.03.2025;06414000;2513;2513 Grundschule Nordenstadt;W;Grundschule Nordenstadt, Erdgeschoss, Raum 002;An der Schule 1, 65205 Wiesbaden;ja;
09.03.2025;06414000;2521;2521 Grundschule Nordenstadt;W;Grundschule Nordenstadt, Erdgeschoss, Raum 021 A;An der Schule 1, 65205 Wiesbaden;ja;
09.03.2025;06414000;2522;2522 Grundschule Nordenstadt;W;Grundschule Nordenstadt, Erdgeschoss, Raum 014;An der Schule 1, 65205 Wiesbaden;ja;
09.03.2025;06414000;2523;2523 Grundschule Nordenstadt;W;Grundschule Nordenstadt, Erdgeschoss, Raum 015;An der Schule 1, 65205 Wiesbaden;ja;
09.03.2025;06414000;2611;2611 Bürgerhaus Delkenheim;W;Karl-Gärtner-Schule, Raum 05;Wilhelm-Dietz-Straße 5, 65205 Wiesbaden;nein;
09.03.2025;06414000;2612;2612 Bürgerhaus Delkenheim;W;Karl-Gärtner-Schule, Raum 05;Wilhelm-Dietz-Straße 5, 65205 Wiesbaden;nein;
09.03.2025;06414000;2613;2613 Karl-Gärtner-Schule;W;Karl-Gärtner-Schule, Mensa;Wilhelm-Dietz-Straße 5, 65205 Wiesbaden;ja;
09.03.2025;06414000;2711;2711 Erich-Kästner-Schule;W;Erich-Kästner-Schule, E 08, Aula;Zehntenhofstraße 20, 65201 Wiesbaden;ja;
09.03.2025;06414000;2712;2712 Erich-Kästner-Schule;W;Erich-Kästner-Schule, E 08, Aula;Zehntenhofstraße 20, 65201 Wiesbaden;ja;
09.03.2025;06414000;2713;2713 Erich-Kästner-Schule;W;Erich-Kästner-Schule, E 13;Zehntenhofstraße 20, 65201 Wiesbaden;ja;
09.03.2025;06414000;2721;2721 Erich-Kästner-Schule;W;Erich-Kästner-Schule, E 05;Zehntenhofstraße 20, 65201 Wiesbaden;ja;
09.03.2025;06414000;2731;2731 Joseph-von-Eichendorff-Schule;W;Joseph-von-Eichendorff-Schule, Neubau, UG, Raum -122;Otto-Reutter-Straße 5, 65201 Wiesbaden;ja;
09.03.2025;06414000;2732;2732 Joseph-von-Eichendorff-Schule;W;Joseph-von-Eichendorff-Schule, Neubau, EG, Raum 026;Otto-Reutter-Straße 5, 65201 Wiesbaden;ja;
09.03.2025;06414000;2811;2811 Alfred-Delp-Schule;W;Alfred-Delp-Schule, Turnhalle;Alfred-Delp-Straße 53, 65201 Wiesbaden;ja;
09.03.2025;06414000;2812;2812 Alfred-Delp-Schule;W;Alfred-Delp-Schule, Turnhalle;Alfred-Delp-Straße 53, 65201 Wiesbaden;ja;
09.03.2025;06414000;3111;3111 Forum;W;Forum, Anbau;Kellerskopfstraße 4, 65207 Wiesbaden;ja;
09.03.2025;06414000;3112;3112 Kellerskopfhalle Naurod;W;Kellerskopfhalle Naurod, Anbau;Laurentiusstraße 36 bis 38, 65207 Wiesbaden;ja;
09.03.2025;06414000;3113;3113 Forum;W;Forum, Saal;Kellerskopfstraße 4, 65207 Wiesbaden;ja;
09.03.2025;06414000;3211;3211 Ehemalige Katholische Kirche;W;Ehemalige Katholische Kirche;Schlehenweg 7, 65207 Wiesbaden;nein;
09.03.2025;06414000;3212;3212 Ortsverwaltung Auringen;W;Ortsverwaltung Auringen;Kirchenhügel 3, 65207 Wiesbaden;ja;
09.03.2025;06414000;3213;3213 Mehrzweckhalle;W;Mehrzweckhalle;Bremthaler Weg 2, 65207 Wiesbaden;ja;
09.03.2025;06414000;3311;3311 Bürgerhaus Medenbach;W;Bürgerhaus Medenbach;Am Sportfeld 4, 65207 Wiesbaden;ja;
09.03.2025;06414000;3312;3312 Bürgerhaus Medenbach;W;Bürgerhaus Medenbach;Am Sportfeld 4, 65207 Wiesbaden;ja;
09.03.2025;06414000;3411;3411 Evangelisches Gemeindehaus;W;Evangelisches Gemeindehaus, Großer Saal;Am Rathaus 12, 65207 Wiesbaden;ja;
09.03.2025;06414000;3412;3412 Neue Grundschule Breckenheim;W;Neue Grundschule Breckenheim, Raum 014;Lärchenstraße 2, 65207 Wiesbaden;ja;
09.03.2025;06414000;3413;3413 Neue Grundschule Breckenheim;W;Neue Grundschule Breckenheim, Raum 023;Am alten Weinberg 50, 65207 Wiesbaden;ja;
09.03.2025;06414000;5111;5111 Johann-Hinrich-Wichern-Schule;W;Johann-Hinrich-Wichern-Schule, Eing. Fröbelstr. Mehrzweckraum;Dyckerhoffstraße 22, 65203 Mainz-Amöneburg;ja;
09.03.2025;06414000;5211;5211 Bürgerhaus Mz-Kastel;W;Bürgerhaus Mz-Kastel, 1. OG, Großer Saal;Zehnthofstraße 41, 55252 Mainz-Kastel;ja;
09.03.2025;06414000;5212;5212 Bürgerhaus Mz-Kastel;W;Bürgerhaus Mz-Kastel, 1. OG, Großer Saal;Zehnthofstraße 41, 55252 Mainz-Kastel;ja;
09.03.2025;06414000;5221;5221 Kindertagesstätte AWO;W;Kindertagesstätte AWO, Fledermausraum;Marie-Juchacz-Straße 48, 55252 Mainz-Kastel;ja;
09.03.2025;06414000;5222;5222 Kindertagesstätte AWO;W;Kindertagesstätte AWO, Salamanderraum;Marie-Juchacz-Straße 48, 55252 Mainz-Kastel;ja;
09.03.2025;06414000;5261;5261 Kindertagesstätte Kastel;W;Kindertagesstätte Kastel, Bewegungsraum;Am Eichelwäldchen 6, 55252 Mainz-Kastel;ja;
09.03.2025;06414000;5262;5262 Krautgartenschule -Im Sampel;W;Krautgartenschule -Im Sampel, Erdgeschoss, Zimmer 10;Steinern Straße 54, 55246 Mainz-Kostheim;ja;
09.03.2025;06414000;5311;5311 Bürgerhaus Mz-Kostheim;W;Bürgerhaus Mz-Kostheim, Großer Saal;Winterstraße 20, 55246 Mainz-Kostheim;ja;
09.03.2025;06414000;5312;5312 Bürgerhaus Mz-Kostheim;W;Bürgerhaus Mz-Kostheim, Großer Saal;Winterstraße 20, 55246 Mainz-Kostheim;ja;
09.03.2025;06414000;5321;5321 Brüder-Grimm-Schule;W;Brüder-Grimm-Schule, Großer Pavillon, Raum 1;Schiersteiner Str. /Ko 34, 55246 Mainz-Kostheim;ja;
09.03.2025;06414000;5322;5322 Brüder-Grimm-Schule;W;Brüder-Grimm-Schule, Großer Pavillon, Raum 2;Schiersteiner Str. /Ko 34, 55246 Mainz-Kostheim;ja;
09.03.2025;06414000;5323;5323 Brüder-Grimm-Schule;W;Brüder-Grimm-Schule, Großer Pavillon, Raum 3;Schiersteiner Str. /Ko 34, 55246 Mainz-Kostheim;ja;
09.03.2025;06414000;5324;5324 Bürgerhaus Mz-Kostheim;W;Bürgerhaus Mz-Kostheim, Großer Saal;Winterstraße 20, 55246 Mainz-Kostheim;ja;
09.03.2025;06414000;5331;5331 Ortsverwaltung Kastel/Kostheim;W;Ortsverwaltung Kastel/Kostheim, Sitzungssaal;St.-Veiter-Platz 1, 55246 Mainz-Kostheim;ja;
09.03.2025;06414000;5332;5332 Krautgartenschule -Im Sampel;W;Krautgartenschule -Im Sampel, Erdgeschoss, Zimmer 12;Steinern Straße 54, 55246 Mainz-Kostheim;ja;
09.03.2025;06414000;99011;B99011 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99012;B99012 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99013;B99013 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99014;B99014 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99015;B99015 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99021;B99021 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99022;B99022 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99023;B99023 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99024;B99024 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99025;B99025 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99026;B99026 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99027;B99027 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99031;B99031 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99032;B99032 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99033;B99033 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99034;B99034 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99035;B99035 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99036;B99036 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99037;B99037 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99061;B99061 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99062;B99062 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99063;B99063 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99064;B99064 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99065;B99065 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99071;B99071 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99072;B99072 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99081;B99081 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99082;B99082 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99083;B99083 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99084;B99084 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99111;B99111 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99112;B99112 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99113;B99113 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99121;B99121 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99122;B99122 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99123;B99123 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99124;B99124 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99131;B99131 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99132;B99132 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99133;B99133 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99141;B99141 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99142;B99142 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99143;B99143 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99144;B99144 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99145;B99145 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99146;B99146 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99147;B99147 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99148;B99148 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99149;B99149 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99161;B99161 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99162;B99162 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99163;B99163 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99164;B99164 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99165;B99165 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99166;B99166 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99167;B99167 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99211;B99211 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99221;B99221 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99231;B99231 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99241;B99241 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99251;B99251 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99252;B99252 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99253;B99253 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99261;B99261 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99262;B99262 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99271;B99271 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99272;B99272 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99273;B99273 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99281;B99281 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99311;B99311 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99312;B99312 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99321;B99321 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99322;B99322 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99331;B99331 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99341;B99341 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99342;B99342 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99511;B99511 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99521;B99521 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99522;B99522 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99523;B99523 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99531;B99531 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99532;B99532 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99533;B99533 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;
09.03.2025;06414000;99534;B99534 Briefwahlbezirk;B;Briefwahllokal;Friedrichstraße 16, 65183 Wiesbaden;;